,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",1399302,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"Calling My Phone","Lil Tjay",1243670,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
3,Up,"Cardi B",980810,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
4,"Good Days",SZA,964051,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
5,"Save Your Tears","The Weeknd",878683,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,Streets,"Doja Cat",859114,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
7,telepatía,"Kali Uchis",783009,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
8,"Blinding Lights","The Weeknd",703469,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,Whoopty,CJ,619007,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
10,"Mood (feat. iann dior)",24kGoldn,611937,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
11,"WITHOUT YOU","The Kid LAROI",608031,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
12,"Levitating (feat. DaBaby)","Dua Lipa",604304,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"Best Friend (feat. Doja Cat)",Saweetie,601473,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
14,DÁKITI,"Bad Bunny",586312,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
15,34+35,"Ariana Grande",569847,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
16,"Heat Waves","Glass Animals",563317,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
17,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",556020,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
18,"Astronaut In The Ocean","Masked Wolf",540000,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
19,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",529708,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
20,"HEARTBREAK ANNIVERSARY",Giveon,522053,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
21,"test drive","Ariana Grande",511123,https://open.spotify.com/track/3eZYOQO4UzKrUDYDghtnFw
22,positions,"Ariana Grande",507142,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
23,"Sweater Weather","The Neighbourhood",485938,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
24,"What You Know Bout Love","Pop Smoke",479169,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
25,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",474445,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
26,"Laugh Now Cry Later (feat. Lil Durk)",Drake,461946,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
27,"Wasted On You","Morgan Wallen",448227,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
28,"WAP (feat. Megan Thee Stallion)","Cardi B",438290,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
29,"Therefore I Am","Billie Eilish",433427,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
30,"my ex's best friend (with blackbear)","Machine Gun Kelly",432610,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
31,"Wishing Well","Juice WRLD",425414,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
32,"you broke me first","Tate McRae",424459,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
33,"Goosebumps - Remix","Travis Scott",420055,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
34,"On Me","Lil Baby",418928,https://open.spotify.com/track/4Iedi94TIaB2GGb1nMB68v
35,"Tyler Herro","Jack Harlow",412425,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
36,Anyone,"Justin Bieber",412231,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
37,"All Girls Are The Same","Juice WRLD",411370,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
38,"We're Good","Dua Lipa",407472,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
39,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,405439,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
40,"Martin & Gina","Polo G",397267,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
41,"One More Time","Daft Punk",395344,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV
42,"Sand In My Boots","Morgan Wallen",391989,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
43,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",390545,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
44,"LA NOCHE DE ANOCHE","Bad Bunny",385991,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
45,"Come & Go (with Marshmello)","Juice WRLD",385624,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
46,"Opp Stoppa (feat. 21 Savage)","YBN Nahmir",382594,https://open.spotify.com/track/59fFsGRwFiuhxKDPc1k6xW
47,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",379844,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
48,"Lucid Dreams","Juice WRLD",377164,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
49,Bang!,AJR,372358,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
50,CLOUDS,NF,369259,https://open.spotify.com/track/5UMMPHPp6vRP6ghPpSUOzp
51,Body,"Megan Thee Stallion",366858,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
52,"Blueberry Faygo","Lil Mosey",357475,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
53,Heather,"Conan Gray",356915,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
54,willow,"Taylor Swift",352836,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
55,Circles,"Post Malone",352470,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
56,Robbery,"Juice WRLD",351328,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
57,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",350710,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
58,"Bad Boy (with Young Thug)","Juice WRLD",350656,https://open.spotify.com/track/43CIWpJaJHRcI4mUSjqgc2
59,"Hot N*gga","Bobby Shmurda",347330,https://open.spotify.com/track/19gEmPjfqSZT0ulDRfjl0m
60,"Someone You Loved","Lewis Capaldi",344815,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
61,"Cry Baby (feat. DaBaby)","Megan Thee Stallion",343283,https://open.spotify.com/track/4aarlAfLKVCTxUDNgbwhjH
62,"Somebody’s Problem","Morgan Wallen",342237,https://open.spotify.com/track/42lqBjPYlmL1EXpMDXvhSN
63,"The Box","Roddy Ricch",333445,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
64,"Love Story (Taylor’s Version)","Taylor Swift",332311,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf
65,"Daddy Issues","The Neighbourhood",330479,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
66,"CHICKEN TENDIES","Clinton Kane",327577,https://open.spotify.com/track/0awuNCj9gwJEM0seER22DW
67,"ROLLIN N CONTROLLIN FREESTYLE","DUSTY LOCANE",324579,https://open.spotify.com/track/1xqRKo0SDFDO5Jy8yEVD0X
68,"No Role Modelz","J. Cole",314510,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
69,"The Hills","The Weeknd",314373,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
70,"Drankin N Smokin",Future,312203,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv
71,SugarCrash!,ElyOtto,309267,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
72,"Harder, Better, Faster, Stronger","Daft Punk",306306,https://open.spotify.com/track/5W3cjX2J3tjhG8zb6u0qHn
