enjoyed_most,enjoyed_least,difficulty,time_spent,section_attendance,helpful_materials
"No tests, project based class, optional lecture/discussion","Group projects can be rough, especially the beginning 
Section often has no purpose",somewhat more difficult than my other courses,way more work than my other courses,I attend section regularly (almost every week),"Lecture, Assignments"
I enjoy learning how to use pandas through the assignments and the group project to do data wrangling and cleaning.,,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Assignments, Group Project"
No attendance,,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Assignments, Piazza"
Topics about how to handle several Python tools,nothing special ,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Workbooks, Assignments"
"I like the assignments. They're fun and have a good amount of difficulty (challenging but also w/ good amount of guidance) and they seem applicable which I like.
I also appreciate not having to attend lecture but I do feel bad because Professor Ellis seems really cool but... it's hard to wake up and get out of bed to come to class. T_T
I also like the freedom of the final project and my groups seems super cool so far so I'm excited. ",Nothing!,somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
,,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments, Group Project, Piazza"
Learning Python & Extracting Data from websites,Rushed past a lot of coding syntax. Too much emphasis on research question vs how to actually program our project,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Office Hours"
Learning about Jupiter notebook and different python libraries ,Sometimes the class is too slow for case study,way easier than my other courses,way less work than my other courses,I do not attend weekly sections,Lecture
Detailed examples of working through data science problems ,N/a,about as difficult as my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Office Hours"
Brainstorming all the different variables that can affect the thing we are trying to measure in the data science question,Having to do a lot of research and googling; the loss of structure,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Workbooks, Assignments, Group Project, Office Hours"
"Nice intro to Data Science, try to explain the basic concepts",,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Workbooks, Assignments, Piazza"
"I like how the course is very application based in terms of the assignments and project. I enjoy coding, so it is always nice to do some coding for classes",,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Group Project, Piazza"
"The demonstration of how to clean data, and use the pandas library during class",3 days a week ,somewhat easier than my other courses,about the same amount of work as my other courses,,"Lecture, Assignments, Group Project"
The project - working in groups.,Learning curve for Python ,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
"I like the idea of having a group project, because that creates an environment for students to gain experience with working on a team. ",nothing really...,somewhat easier than my other courses,somewhat more work than my other courses,I attend section occasionally,"Lecture, Group Project"
I've enjoyed the assignments and learning about how to use Python to wrangle and analyze data. ,My least favorite part of the class has been finding a time to schedule meetings between all my teammates for the final project.,about as difficult as my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
I really like the jupyter assignments. They teach me a lot about practical data-science.,,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Assignments, Group Project, Piazza"
I really like that the lectures are interesting and that they provide helpful examples that can be utilized for the assignments and for the final project.,Being put into a group with random people.,somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
Professor is so nice to answer questions in office hour.,The discussion is not useful enough....,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Assignments, Group Project, Office Hours, Piazza"
Relearning git. Makes everything clearer. Python tutorials are useful too.,N/A,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Assignments
Learning more about data science as well as slowly learning how to code in a different language through the use of the lecture slides and piazza tips.,The group project is a little intimidating since its so open ended and I am used to more structured projects that walk you through each step (i.e. COGS 120).,about as difficult as my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
"The pace and the breadth that we cover. I feel like the structure is really nice, and  we are able to learn much about data science. It was very nice to have something different every lecture, and for the information to build off of each other (for example, pandas is basically the core of data science and we build a lot off of that). The balance between conversations/discussions and you actually lecturing is very nice since I feel like it allows us to discuss our ideas very easily while still getting content. ","The EDA lectures. I like them, but I do not feel like we need to have two of them. I would have liked that time to go towards other topics of data science, or so that we can have topics like runtime or efficiency within data science, since I feel like that would be extremely helpful for our projects (especially if we were to deal with extremely large datasets). I would also have liked to possibly expanded more on missing data and how to deal with that. The third assignment deals with Beautiful Soup and web scraping a bit, but I feel like it wasn't covered as much as it should have. Overall, part of the compromise of teaching such a breadth of material limits the depth we go into, but I still feel like some areas should be covered more (pandas, numpy, efficency, etc.) ",about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Office Hours, Piazza"
Analysis those data by certain code make me feel amazing ,I like to discuss some cool idea when I meet with my group.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Assignment Help, Section - Workbooks, Assignments"
Python programming to produce different kinds of graph,lecture to be more on program implementation,about as difficult as my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Assignments"
I have enjoyed the hands-on programming experience that we have had with the assignments. It's fun and engaging and makes me feel like I am actually learning data science concepts/programming.,"I don't know if I'm getting much out of lectures because while I understand that there are conceptual issues to talk about, I wish they could also be more reflected in our homework. The homework and lectures feel very disconnected because I'm mostly googling for homework and even if I miss a lecture, it doesn't feel like I actually missed much. I also wish there were more points available in the class as its stressful that every point is a whole percent. ",somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Assignment Help, Assignments, Office Hours, Piazza"
,,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
,assigned groups because I was looking forward to working with my friends,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Office Hours, Piazza"
Learning different methods to processing data ,none,about as difficult as my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments, Office Hours, Piazza"
Jupyter Notebook,Nothing,somewhat easier than my other courses,way less work than my other courses,I do not attend weekly sections,Assignments
Coding and group work ,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Group Project"
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Group Project"
I enjoyed meeting with and working with my group.,I don't like the assignments because a lot of the questions aren't explicitly covered in lecture.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
"The assignments have been pretty fun. Nothing is too hard, but it's not so easy that I can get it done in an hours.","I wish there were more structure to the final project. I liked how in COGS 9, there were assignments to make sure we keep up, and I feel like my group is behind in the project already.",somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Office Hours"
,,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
,,somewhat more difficult than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
"she doesn’t try to extend class any longer than it needs to be. When she finishes the material, she lets us leave. Other professors will try to keep us here until the end.",group projects ,way more difficult than my other courses,way more work than my other courses,I do not attend weekly sections,"Lecture, Piazza"
,Coding....,about as difficult as my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Assignments, Group Project, Piazza"
Defining own data science question to explore.,Group work :/ ,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Workbooks"
Creating and working on a project that we were allowed to think of ourselves. Gathering data was really fun.,Not being able to choose our own teams. ,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Group Project, Piazza"
DATA SCIENCE!,nothing,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
Assignments,Having to google so much ,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),Section - Assignment Help
