enjoyed_most,enjoyed_least,difficulty,time_spent,a1,proposal
"Learning Pandas, manipulating data is fun",Quizzes aren't helpful,about as difficult,about the same,3,3
The concept of this class,,about as difficult,about the same,4,4
No midterms,Coding aspect,somewhat easier,about the same,6,6
the project,,somewhat easier,somewhat less,1,3
Finding an interesting topic and researching more about it.,,about as difficult,about the same,1,5
Looking up stuff for the project proposal,,about as difficult,about the same,2,4
Learning about pandas and working with my group,the quizzes being kind of hard :(,about as difficult,about the same,2,2
lecture is very clear ,the workload is a little bit heavy ,somewhat more difficult,somewhat more,4,3
Using pandas for the PAs,Having the quizzes but because I will like to have 2 tries,about as difficult,about the same,2,4
Professor Ellis is great at explaining concepts,The quizzes... I keep losing points and the time constraint makes it difficult and stressful :(,somewhat more difficult,somewhat more,5,5
I really enjoy learning about all the different types of approach to answer questions about data ,"I am not a big fan of all the quizzes we have to do. We don’t have enough time for the quizzes and even if we do watch the lectures, I think the questions are still quite difficult. I also think the homework is quite difficult ",about as difficult,about the same,3,5
I really like the structure of videos and quizzes,I would like lecture quizzes to be due on friday of each week,somewhat easier,somewhat less,1,1
Engaging lecture videos ,N/A,about as difficult,way more,2,6
,,about as difficult,somewhat more,10,20
The project proposal. It gave me and my group members free reign to investigate what we wanted so choosing the topic and dataset was fun.,N/A,somewhat easier,somewhat less,0.5,4
learning about what good data analysis consists of,Some of the quizzes are hard,about as difficult,about the same,2,3
Data Science,Lecture Quizzes; every other day completion with fairly high difficulty (time/single attempt),about as difficult,about the same,3,4
I've enjoyed the video lectures the most. I find them very informative and punctual at the same time.,I don't like the video quizzes. Some of the questions take me longer than others to answer but we only get one minute per question. I've also accidentally started quizzes a few times.,about as difficult,about the same,2,5
I really enjoy the topics we've learned and I like using Jupyter notebook because it's convenient being able to run code together with the notes. ,I hope we can use github a bit more before the final project because I feel very unprepared with how github works still... I'm afraid I might forget something important for the final if we don't practice using github more. ,somewhat more difficult,somewhat more,5,2
I’ve liked the homework assignments and how they build on what we learned from lectures. They’re also not too time consuming which is nice.,"I wish we could focus a bit more on coding plots and like different things we could do with that, maybe go into greater depth in that area",somewhat easier,about the same,1,2
"Honestly, it's the fact the there are no tests, the times between when assignments are due are nice and long, which cause no stress and we can do them at our leisure, making sure we really understand the concepts! ","The 30 minute long videos :( But this isn't really an issue, it's just me being a lazy boi ",about as difficult,about the same,4,3
I have enjoyed the format through which the lectures have been provided. The videos that we are responsible for watching are so well-made that I might have ended up watching them even if I was not taking COGS 108 currently.,"As with all of my other classes, remote learning is a challenge. As someone who gets stressed very easily, it is very difficult to avoid losing a few points on the lecture quizzes in situations when I am unable to recall the specifics of the lectures in the moment. And those losses have added up.",about as difficult,about the same,1,4
Working on Assignments ,Quiz. Too many quizzes to take.,about as difficult,about the same,1,5
I like the concept and the Notebook assignments because I have never used pandas before so it is good for me to practice,I don’t really enjoy the quizzes but it makes sense since it forces us to watch the lecture,somewhat easier,somewhat less,2,2
the assignments have been a great opportunity to get hands-on experience with data science,"I don't like the clarity of grading. I feel like the quizzes often have some questions that ask about something that's really nuanced & I understand that the questions can't all be easy, but I don't think those question topics get enough attention in the video to give us the opportunity to have deeper thought about them. I also wish there was a way to turn in the assignments and see the grade on them before they're due (without necessarily seeing the correct answer) so we can get a better idea of how they're going.",about as difficult,somewhat more,1.5,4
The assignments are very well-designed and fun to complete.,Some questions in the quizzes are pretty tricky even though I pay close attention in lec I may still not get it right.,somewhat easier,somewhat less,1,2
The valuable experience in a programming language that is leading in the field of data science. ,"I wish we could divide the course into two or three. Though it serves as a good stepping stone for learning data science, for many cogs students it’s where that course experience ends. To supplement this, I’ll be taking cogs 109 and 188 but those classes are taught in Matlab. It’d be nice to have a central theme to some of these courses as python is arguably the most popular language for data science right now. ",somewhat easier,somewhat less,2,3
"Surprisingly, I really like the quizzes because they make it easier for me to assess which concepts I understand and which ones I need to focus on more before the assignments. ","I think the hardest thing for me so far in this course has been learning how to use github, since it is a very different platform for me and I have never used anything like it before. ",somewhat more difficult,somewhat more,4,6
I have enjoyed the video lectures and sections the most. They have been helpful to me.,"I feel like I am confused about many aspects of the course, whereas many other students are so far advanced that everything is a breeze. I only took cogs 18, so I am only really familiar with Jupyter notebooks; Github is very confusing and I don't really know how to do code on my local computer outside of jupyter. Additionally, the final project made me really confused, and I think I wrote a terrible proposal because I missed some of the information on Piazza.",somewhat more difficult,about the same,2,4
"I've really enjoyed learning how to use datahub and work with jupyter notebooks. The material feels very relevant to real life, and is genuinely interesting. I also like how the videos are all broken up into segments instead of having one big fifty minute video, because this is way better for my attention span. ","Not much. I confess that having timed quizzes give me a probably unwarranted sense of anxiety, but that's it :)",somewhat easier,about the same,2,2
Learning about different packages that I can use inside of Python.,The quizzes.,somewhat easier,about the same,1,3
"I've enjoyed how practical the course is so far. I know we haven't gotten to far into the more advanced materials, but I like how were working more with data rather than theory so it feels like I'm actually doing something.",Definitely keeping up with the lecture attendance quizzes...,somewhat easier,about the same,2,5
,,somewhat easier,about the same,3,3
I enjoyed learning about the applications of data science and actually learning about techniques. ,I don't think discussion sections are useful. ,way easier,way less,45,5
"I have enjoyed seeing how data can be analyzed using Python, and how it comes together when an adequate research question is asked. ","So far, what I have least liked about this course is that it is a lot of self learning (like many courses), and it can be a little hard to take in all at once. ",about as difficult,about the same,10,7
"working with my group.  They are all my friends and I don't get to see them as often (obviously), so it's fun to see and work with them in the group zoom meetings.","that unit tests are grouped in their grading. i.e. if a function is required to work and pass unit tests a, b, and c, we lose all potential points if it fails just one of them.  I understand why however, I just think it may be beneficial to us all to find these potential bugs beforehand.",about as difficult,about the same,2,3.5
I've enjoyed the collaborative work around the final project. ,"I think the pre-recorded lecture isn't conducive to me getting the most out of the course. I enjoy engaging with the material and my peers, and asking questions in real-time. I understand the need for asynchronous learning, but it'd be great if we could still meet up during lecture times to go over the material in real-time, if possible.",about as difficult,somewhat more,4,10
The lecture material includes both concepts and Jupyter notebook practice.,I forgot to take one' day's quizes and I lose 15 points :(,about as difficult,somewhat more,3,5
felt kinda interesting that it combines the knowledge from MATH 183 which I took last quarter and Cogs Science by using Python to analyze data.,due dates for quizzes are a bit tight. I felt a bit stressed out since I am taking 5 classes this quarter.,somewhat easier,about the same,1,4
The assignments that assess my learning ,working on the group project virtually- make it difficult to collaborate and bounce ideas,about as difficult,way more,24,6
The lectures and especially examples used were quite interesting.,"Work with my team: I didn't know my teammates before and after working on the proposal, I have realised our quality standards are quite different. ",way easier,about the same,1,5
Helpful lecture videos,N/A,somewhat more difficult,somewhat more,11,0
The course offers a relatively comprehensive way to solve problems.,Everything is good,somewhat easier,about the same,2,4
