What have you enjoyed MOST about COGS 108 so far? Please explain.,What have you liked LEAST about COGS 108 so far? Please explain.,"Difficulty: Relative to other courses you've taken at UCSD, COGS 108 is...","Workload: Relative to other courses you've taken at UCSD, COGS 108 is...",Approximately how many hours did you spend completing A1 (Python & git)?,Approximately how many hours did you spend completing A2 (Pandas)?,Approximately how many hours did you spend completing A3 (Data Exploration)?
Guest Lectures,,about as difficult,about the same ,1,2,4
"Guest speakers, they were very interesting and I learned a lot",Nothing,somewhat easier,about the same ,1,2,3
,,somewhat easier,somewhat less ,3,3,4
,,somewhat easier,somewhat less ,0.5,1,1.5
The discussion is clear and TA is nice. ,Some grading for assignments requires regrade to get points back. ,way easier,way less ,0.5,0.5,0.5
Group collaboration,Not much programming direction,about as difficult,about the same ,3,4,8
project,guest lectures,somewhat easier,somewhat less ,2,2,2
Lectures are interesting and engaging. ,Programming assignments lack some clarity especially with multiple choices. ,about as difficult,about the same ,5,5,5
Learned a substantial amount of the conceptual ideas on data science. Good complimentary course with DSC80,"The class is too early, sometimes it's tiring to wake up.",way easier,way less ,1,1,1
The python is pretty nice and data science part is interesting.,The project proposal grading was honestly pretty annoying. It didn't seem very relevant and I don't think it was very useful.,somewhat easier,somewhat less ,1,1,1
,,somewhat easier,somewhat less ,1,2,3
Allowing us to see possible cases of data sciences in practice (guest lecture and case study in lecture),Not much.,about as difficult,about the same ,4,6,6
I have really enjoyed applying what I learned in COGS 18 in a data setting. The guest lectures are great too. ,"I have struggled with the group project- it’s a bit overwhelmingly open ended, but that’s probably because I’m so new to data science",somewhat more difficult,about the same ,4,4.5,5
Working in groups,Assignments,somewhat more difficult,somewhat less ,3,5,3
,,way easier,way less ,5,1.5,2.5
,,somewhat more difficult,about the same ,3,5,5
I learned a lot about python and data analysis ,Not enough extra credit. Want more chance to get A,about as difficult,about the same ,3,3,3
I like how you go step by step on how to do things as well as the discussion sections. Other classes expect me to figure out things on my own and I don't know how often because it is not intuitive.,It's difficult to know whether I'm doing the right thing for HW because there are so many different ways of doing the same thing. ,about as difficult,about the same ,3,5,5
The guest lectures,The PAs,somewhat easier,somewhat less ,2,5,5
,,somewhat easier,somewhat less ,1,2,3
class structure,8am,somewhat easier,somewhat less ,3,2,2
Learning python and working with data is really fun.,I would like to have more guidance on my project for this class.,somewhat easier,somewhat less ,2,3,3
The guest lectures have been very informative,The assignments are at times unclear,somewhat easier,somewhat less ,2,3,4
Assignments have been challenging yet rewarding. ,That fact that I didn’t get partial credit when I put something incorrect in a cell. ,about as difficult,about the same ,2.5,2.5,3.5
"I love the coding part. It is my first class to learn Python and Pandas, and I find it very interesting when dealing with data.",N/A,about as difficult,about the same ,3,5,7
I have enjoyed working on the labs and learning about how to use Pandas,Jupyter notebook can be frustrating to use at times,somewhat easier,about the same ,2,2,4
I've found the group project to be interesting,"I've found the assignments to be somewhat hard, I've been spending a really long time needing to look up what to do for every question.",somewhat more difficult,somewhat more ,1.5,4,5
Exploring Data because I've always wondered how to go about loading a dataset into Jupyter Hub and being able to change and work with the data given. ,"I'm not a big fan of the tests that Python does to check our homework, I would prefer if they were a bit more specific so I know that I am doing it right.",about as difficult,about the same ,4,6,12
I like that we get to choose what out final project is on and I like how the lectures are set up.,,about as difficult,about the same ,4,5,5
The class teaches hard data science skills and not just the concepts,There are a lot of concepts and the different coding methods don’t seem to stick very well/I end up needing to look syntax up a lot,way easier,somewhat less ,3,3,4
"I have actually really enjoyed discussion the most so far, which is a bit weird for me honestly? I do also enjoy lecture but I will admit, the fact that lecture is at 8am and my discussion is at 12pm probably makes a difference. What I like about discussion is the real world examples used to apply concepts learned in class. I'm also really grateful for assignment clarifications.","The group project. I don't feel like I can balance completing assignments and the group project well, and I'm not getting much support from my group.",about as difficult,somewhat more ,1,4,4
Attending lectures,The assignments need a lot of work and time.,about as difficult,somewhat more ,3,6,6
fair assignments yet very important concepts,don't like the idea of project haha,somewhat easier,somewhat less ,1.5,1.5,1.5
Studying about pandas. Because it's challenging.,The way we have to find out the syntaxes on our own for assignments.,somewhat easier,somewhat less ,2,3,3
I really like the structure of the Jupyter Notebooks,Too little time for the more detailed assignments (A3 onward),about as difficult,about the same ,2,2,4
I've enjoyed the guest lecturers,I dislike how the project instructions are unclear,about as difficult,somewhat less ,1,2,3
