enjoyed_most,enjoyed_least
"I enjoy about learning python. I think learning pandas package enable me to clean my data in more efficient way. Also, I achieve a better tool to express my data, when I learned data visualization.","I really did not enjoy learning ethnic part. Although I think it is a very important topic, I still think it is kind of boring. I am glad the rest lectures are amazing and engaging."
Mainly being able to explore the field of data science and tools to work with and analyze real data out there in the world. I think it's cool to be able to work with the data to be able to deduce interesting stats or facts that are not easily seen without tools.,"Since I have to say something I guess it'll be that it can be a little confusing to know what exactly the assignments are asking for in some questions, or what specific method it wants us to use and how."
Coding is funny,PDF lecture notes should be put on Canvas
"I enjoy the ease of access to assignments, for instance, completing assignments via DataHub and Canvas is very simple and convenient.","At first, I felt that the Data Ethics or Data Privacy sections were unnecessary. HOWEVER, I soon realized that they are valid concerns because neither I would like my data to be nonconsentially used and these are topics that are often undermined."
Learning pandas and plots,final project
Coding is funny,PDF lecture notes should be put on Canvas
Hand on experience and discussion about pandas and seaborn functions.,
I have enjoyed the case studies learning about interesting applications of Data Science.,"The pace, but I understand this is an introductory course, and I did take the course for this reason, so this is not a valid criticism."
Juypter Notebook,Discussion questions being vague
Applying skills from COGS18 to real-world scenarios such as experimenting.  My python skills are not being exercised.,"The difficulty of some packages such as pandas.  Some stuff feel harder than they should, like graphing."
"The process. It could be ugly at the start of a assignments, but it comes together and I learn the ins and outs through struggling and trial and error. ",The stress about it all. Thank Goodness there is no test involving executing code 
I enjoy learning Python and especially how I can apply that in my future career. It is a new programming language to me as I only know Java so far. But learning Python is helpful and I know more about how scientists can put the data together to answer questions.,I cannot think of anything that I like least about COGS 108. Everything seems good so far to me
"What I have enjoyed the most are the detailed responses from emails. The large amount of feedback is rare to see, and it makes it much easier to stay on the right track for the project.","This one is hard to say, but I think I least enjoy the discussion section assignments, mainly because the discussion section assignments together tend to take longer than the assignments, which is due to my lack of knowledge in Python, pandas, etc."
Love the lectures and the amount of information given during them. It does not seem like it's overwhelming. It feels like the perfect amount :) ,"Since I am still not so comfortable with coding, the assignments are still a bit overwhelming. "
Learning how to use pandas has been incredibly useful for other classes. ,The programming skill level varies too much in the class which makes group projects hit or miss. 
"I enjoyed learning using github, as well as data wrangling. ",
I have enjoyed the ethics lectures the most as I think the concepts are extremely important,in general its just hard for me to grasp coding concepts but thats not specific to this class
