enjoyed_most,enjoyed_least,,,,,
"The pace is moderate, easy to follow but not boring.","We have to work in a group. personally speaking, I dont like group projects",,,,,
I enjoy exploring data science more using Python.,"I don't really like when labs, lecture, and assignments are released and students can't run the code without errors popping up. For many who are not familiar with Python, it is hard to figure out these error messages. A lot of the lab code especially always has errors.",,,,,
"guest lectures, being able to hear real life experiences is helpful",weekly lecture quizzes,,,,,
"Assignment, there is a step by step guide how to finish the assignment. By just doing the assignments, I gain decent knowledge","Assignment, because its also time consuming.",,,,,
Coding,Group members not responding,,,,,
I enjoyed the guest lecture. Hearing about other's path to data science and associated reflections is very helpful.,"The assignments are very hard for me. I am new to git, github, & jupytr notebooks so all the jargon, syntax, folders, etc.. is overwhelming and intimidating.",,,,,
learning more about data visualization,Some weeks having both discussion and an assignment due,,,,,
I enjoy challenging myself on exploring Pandas and reinforcing my coding skills,I sometimes have difficulty with the D & A Assignements,,,,,
I like the relaxed nature of the class overall and how the assignments are meant to be too stressful but rather for learning,The weekly quizzes are rather time consuming and don't really reflect the course material learnt that well sometimes,,,,,
I enjoyed the guest lecture the most because it brought insight into the industry.,I do not like the weekly quizzes because they are timed.,,,,,
Working towards the project,The quizzes are a bit too unrelated imo,,,,,
I really like doing projects and doing data analysis.,I don’t like being assigned to a group because I cannot work on group projects with my friends.,,,,,
I've had a great revision go Python,Too much introduction to python,,,,,
"I like learning about the different coding avenues (pandas, seaborn, etc). I like graphing the data the most.","I haven’t really not liked anything, although it was hard to do the previous project review and understand someone else’s code at times (maybe because we haven’t learned all the different techniques yet)",,,,,
I like listening in lecture.,"I don't really like Python, because I feel like the only thing I'm doing for the homework is finding the right function.",,,,,
I have enjoyed the discussions the best as they are a good summary/practice of what was covered throughout the week,COGS 108 has been fun! The only thing I don't like is how early the class is :( (and I have a conflict with the 2pm section so I cant go to that one),,,,,
"Learning about data science, and how to solve an interesting data science problem.","Need to walk at least 15 minute from my apartment to the classroom, especially during the raining day, I know it isn't actually related to the class, but other than that, everything is fine.",,,,,
It's my first python class so I've enjoyed learning and actually coding in python,I tam not really enjoying pandas. I know the class is all in pandas but there's a lot of syntax behind it and I'm having a hard time understanding the parameters and the order to do things.,,,,,
"Learning about data science, initially I thought it would really challenging since I am not that knowledgable with coding but I actually have a lot of fun doing the assignments and learning about topics within data science.","Since this is the first time I'm learning about data science, I wouldn't know I don't like this but I struggling with learning how to use pandas and wrangling since there are a lot of different functions and codes, and it gets pretty confusing.",,,,,
Learning Python and using pandas to manipulate large data sets,"The lack of direction with the projects. This might be my own doing, however, I am slightly confused about this whole process.",,,,,
"So far, I have enjoyed the labs in COGS 108. I am new to Python, and the Discussion Lab Assignments really help me to learn the different functions and syntax. The structure of the labs and the guidance they provide are really effective at teaching how to code in Python.","So far, I have least liked the Assignments, because of the hidden tests. I feel I am doing the assignment right and understanding the code, but then when I receive my grade, it does not match up with what I thought. I understand the hidden tests raise the stakes of the assignments and are there for a reason, but I feel as though I learn best from the discussion labs, which do not have any hidden tests and you have a clear understanding of whether or not you are coding properly.",,,,,
I've enjoyed the labs as they are straight forward and also have really good guidance before each question. Thank you for all the extra credit options as well.,"I've disliked the frequency of assignments (I also feel like the actual Assignments are quite lengthy in nature), and this can be tough to manage with midterm schedules of other classes. I wish we had more ""late/slip"" days.",,,,,
Learning more about python. I knew the basics of the language but I mainly code using Java. The course is really helping me strengthen my skills in this language.,The group I have for the project. Not all members communicate effectively and contribute the same amount so its a bit concerning.,,,,,
I like when the professor discusses ethics in data science.,My team hasn’t been the easiest to work with so far. I also wish there were more office hours.,,,,,
