enojed_most,enjoyed_least
I like the labs and homeworks they're pretty well structured.,Nothing.
The lectures are very entertaining and a great way to teach,The discussion notebooks take a long time to finish and are a lot of work that doesn't teach much
"I have really enjoyed the further exposure to Python. I took a class using Python before but I feel like I am retaining much more information on how to use it here due to the detailed explanations provided for us in lecture, labs, and assignments. ","I think I have least liked the weekly quizzes, simply because I sometimes forget that they are there to be done. However, I understand the importance of them and I have been more mindful of incorporating the short quiz into my to-do list items. "
"What I have enjoyed the most so far in this class is the overall class structure. For a class like this, I love how we have the opportunity to form groups and work on one big project, with “checkpoints” throughout the quarter for the project and “small” assignments to complete weekly for the course materials (the quizzes and assignments). I think that is better than having midterms/finals.","This is just a personal thing, but I have had practically zilch experience with Python (I am, however, not new to programming as a whole. I was taught C++ first, followed by Java. I have my qualms with Python), but I am doing review and watching “python for c++ programmers” videos to get myself up to speed."
How thorough lectures are and accomodating the class is for students. I feel like I am learning a great deal without adding too much stress to my workload. ,I wish that discussion sections were podcasted
I've enjoyed brushing up on my pandas knowledge and I do like that the lectures themselves are quite interactive with the notebooks, n/a
"I like the discussion and assignment assignments. I like how I can apply what I learned in class to different samples and see the outcomes. Moreover, they are hands-on, so I can learn about the syntax and how to analyze data. ","Something that I didn't like as much was the grading for the assignments and discussions. Although there are test cases on the assignments, there are hidden cases that are also in the questions. Since I am trying to fulfill the question and solve for a specific test case, there are issues with the test cases that wouldn't work with the hidden ones. As  a result, I would get docked because I was trying to solve the question, rather than fulfilling the hidden case. This could be an error on my side, but I haven't understood the syntax and functions to their full extent yet, so I would find different functions that also fulfill the question, but fail the hidden tests."
Learning about the different ways of reducing or wrangling datasets.,N/A
Not so much about learning the language but the intuition of data. Understand that data can be biased and ethics about data analysis.,"Nothing much, everything is going smoothly and there are enough support."
Assignments and Discussion Labs have been straightforward and interesting.,I think the project part is a little slow because we haven't done much related to it yet.
"I've most enjoyed the satisfying way discussions and assignments are set up, along with the beneficial lectures given by prof. ellis.",I have been a little stressed about the slow pace of getting the project started because I have become more accustomed to a faster paced project-based class (like cogs 137). But even that is okay
"I enjoy the class a lot, there are great examples in lecture that help me understand the material. ",I don't have anything I like the least. 
Professor Ellis does a really good job explaining things and articulating concepts.,The quizzes feel like an added stress when we have a lab and assignment due.
the specializations per week and the teaching staff's openness to questions,I wish we had more places to practice and code more
I have enjoyed the assignments. As a data science major I feel like I’m getting extra practice from both this class and my data science classes so I really understand the content.,I have no complaints so far. Everything is fine
Meeting new people and refreshing my mind about python.,It feels kind of slow because I already learned most of the material.
